DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,Mean_BMI,Median_BMI,Unmet_Need_Rate,Under5_Mortality_Rate,Skilled_Birth_Attendant_Rate,Stunted_Rate,URBAN_RURA
HT200000000160,2000,160,18.55987602,-72.07422334,22.73,20.15,71.43,21.05,11.11,NaN,R
HT200000000161,2000,161,18.47197146,-72.04945535,24.3,23.42,50,32.53,0,NaN,R
HT200000000162,2000,162,18.66592057,-71.87194897,22.47,22.55,65,16.79,2.86,NaN,R
HT200000000163,2000,163,18.32287515,-71.7537034,21.31,21.28,100,7.08,2.38,NaN,R
HT200000000164,2000,164,18.7866978,-72.46414513,22.44,22.76,71.43,29.58,46.67,NaN,R
HT200000000165,2000,165,18.85975477,-72.52073966,22.12,22.54,64.71,18.8,9.38,NaN,R
HT200000000166,2000,166,18.79722143,-72.52998875,22.96,23.01,58.82,14.74,16.67,NaN,R
HT200000000167,2000,167,18.75661896,-72.36162198,20.41,19.83,75,16.52,7.5,NaN,R
HT200000000168,2000,168,18.82891582,-72.8648715,22.24,22.16,85.71,6.48,4.76,NaN,R
HT200000000169,2000,169,18.85371508,-73.20670145,23.14,23.59,42.86,12.2,25,NaN,R
HT200000000170,2000,170,18.24664862,-72.52814559,24.21,22.4,42.86,10.39,22.22,NaN,R
HT200000000171,2000,171,18.36073203,-72.39507354,20.87,20.44,90,25.93,2.44,NaN,R
HT200000000172,2000,172,18.2882082,-72.54016132,21.18,20.14,70,18.75,6.25,NaN,R
HT200000000173,2000,173,18.318144,-72.55813851,21.81,20.91,81.82,13.54,8.7,NaN,R
HT200000000174,2000,174,18.2742885,-72.55039696,21.48,21.45,53.33,16.13,4.55,NaN,R
HT200000000175,2000,175,18.25686692,-72.56023246,21.99,20.52,44.44,9.09,10.34,NaN,R
HT200000000176,2000,176,18.27428566,-72.32109409,21.58,20.82,78.57,5.81,14.81,NaN,R
HT200000000177,2000,177,18.22676315,-72.20319494,20.98,21.04,60,17.65,13.33,NaN,R
HT200000000178,2000,178,18.26280412,-72.45619334,23.18,22.59,83.33,13.86,0,NaN,R
HT200000000179,2000,179,18.24654435,-72.58831785,20.74,20.45,57.14,10.42,33.33,NaN,R
HT200000000180,2000,180,18.19807573,-72.72076097,25.87,23.43,50,15.79,33.33,NaN,R
HT200000000181,2000,181,18.23770977,-72.77599162,20.66,21.04,83.33,11.27,5.56,NaN,R
HT200000000182,2000,182,18.18634263,-72.77299471,20.68,20.08,80,23.08,0,NaN,R
HT200000000183,2000,183,18.16535841,-72.83233075,22.28,21.79,85,15.52,1.85,NaN,R
HT200000000184,2000,184,18.21236726,-72.93459146,21.74,21.48,68.75,13.79,10.71,NaN,R
HT200000000185,2000,185,18.15798041,-72.91048559,21.12,20.09,69.23,15.24,4.17,NaN,R
HT200000000186,2000,186,18.31844032,-72.20060599,21.52,21.54,70.59,22.22,0,NaN,R
HT200000000187,2000,187,18.25442246,-72.07071001,19.83,19.61,76.47,14.63,4.88,NaN,R
HT200000000188,2000,188,18.20859349,-71.90959225,21.39,20.17,70,16.89,10.53,NaN,R
HT200000000189,2000,189,18.16502231,-71.81776617,22.57,20.84,55.56,10.26,0,NaN,R
HT200000000190,2000,190,19.7710188,-72.20256119,22.88,22.76,38.24,6.67,65.22,NaN,R
HT200000000191,2000,191,19.72931139,-72.12355425,20.73,20.54,72.73,10.67,9.52,NaN,R
HT200000000192,2000,192,19.70651005,-72.33013515,21.14,20.52,50,20.51,9.38,NaN,R
HT200000000193,2000,193,19.66357463,-72.26775948,21.43,21.26,50,13.01,10,NaN,R
HT200000000194,2000,194,19.72249064,-72.25400143,23.42,22.58,41.67,9.6,20,NaN,R
HT200000000195,2000,195,19.57218161,-72.17460795,22.62,20.9,58.82,22.61,4,NaN,R
HT200000000196,2000,196,19.54087796,-72.19808096,22.47,22.15,57.14,18.75,0,NaN,R
HT200000000197,2000,197,19.48122629,-72.19033173,20.48,20.02,38.89,21.64,0,NaN,R
HT200000000198,2000,198,19.51533893,-72.26836442,21.76,22.14,38.1,16.77,0,NaN,R
HT200000000199,2000,199,19.5047618,-72.28064579,20.19,20.16,54.55,16.8,0,NaN,R
HT200000000200,2000,200,19.82339703,-72.61201515,20.72,19.83,58.82,18.25,4.17,NaN,R
HT200000000201,2000,201,19.85165694,-72.56290035,20.65,20.58,28.57,13.89,17.14,NaN,R
HT200000000202,2000,202,19.75202619,-72.43041677,21.21,20.79,59.26,8.59,5.41,NaN,R
HT200000000203,2000,203,19.81225664,-72.38479148,20.74,20.4,59.38,10.5,7.32,NaN,R
HT200000000204,2000,204,19.53657574,-72.43784219,18.63,18.31,52.94,15.08,0,NaN,R
HT200000000205,2000,205,19.545623,-72.448495,20.8,20.62,76.92,12.94,4.55,NaN,R
HT200000000206,2000,206,19.70537085,-72.55065021,19.98,19.66,100,20.62,2.5,NaN,R
HT200000000207,2000,207,19.61579292,-71.86452596,20.48,20.68,64.71,14.47,24.14,NaN,R
HT200000000208,2000,208,19.50818999,-71.73687692,20.32,19.89,62.5,16.91,20,NaN,R
HT200000000209,2000,209,19.55317399,-71.79510179,20.45,20.18,66.67,23.61,5.26,NaN,R
HT200000000210,2000,210,19.49824383,-71.78769717,19.31,19.82,82.35,8.51,3.7,NaN,R
HT200000000211,2000,211,19.46154623,-71.70846956,21.58,19.82,68.75,10.45,0,NaN,R
HT200000000212,2000,212,19.41380376,-71.80987245,20.32,20.16,84.21,9.85,0,NaN,R
HT200000000213,2000,213,19.41626688,-71.83190197,21.38,21.9,33.33,10.53,13.33,NaN,R
HT200000000214,2000,214,19.57239447,-72.00369539,20.25,19.76,47.37,13.51,10.53,NaN,R
HT200000000215,2000,215,19.60844938,-72.09491476,20.57,20.48,81.25,9.4,0,NaN,R
HT200000000216,2000,216,19.58633098,-72.10213692,19.51,19.34,86.67,13.39,6.9,NaN,R
HT200000000217,2000,217,19.5846561,-71.9406645,20.78,20.25,50,12.36,27.27,NaN,R
HT200000000218,2000,218,19.48944127,-71.95618335,20.04,21.26,90,15.49,3.7,NaN,R
HT200000000219,2000,219,19.38359206,-71.81291542,20.09,20.03,64.71,18.75,0,NaN,R
HT200000000220,2000,220,19.31475186,-71.84365732,21.82,21.88,58.82,15.45,0,NaN,R
HT200000000221,2000,221,19.31093494,-71.89162954,19.69,19.42,68.42,8.41,0,NaN,R
HT200000000222,2000,222,19.4455103,-72.63223642,21.87,20.59,61.9,18.26,50,NaN,R
HT200000000223,2000,223,19.54259491,-72.68629499,23.63,23.63,35.71,7.14,25,NaN,R
HT200000000224,2000,224,19.32500878,-72.66070446,20.17,19.55,33.33,21.74,11.54,NaN,R
HT200000000225,2000,225,19.74596383,-72.64909728,21.02,20.59,68.42,19.26,5.71,NaN,R
HT200000000226,2000,226,19.66905169,-72.66646721,21.59,20.87,68.42,22.22,37.93,NaN,R
HT200000000227,2000,227,19.66306403,-72.95410488,24.93,22.51,45,17.65,6.25,NaN,R
HT200000000228,2000,228,19.03157611,-72.63794981,20.44,20.27,85.71,18.56,0,NaN,R
HT200000000229,2000,229,19.16768055,-72.62237851,22.92,21.66,12.5,20,60,NaN,R
HT200000000230,2000,230,19.00242061,-72.39216786,21.75,20.14,42.86,7.35,18.18,NaN,R
HT200000000231,2000,231,19.22000699,-72.53748739,21.75,22.14,57.89,22.22,11.11,NaN,R
HT200000000232,2000,232,19.18980094,-72.56624798,21.59,20.68,70,13.46,4.76,NaN,R
HT200000000233,2000,233,19.30654393,-72.56811912,18.75,19,76.47,11.25,13.33,NaN,R
HT200000000234,2000,234,19.14056,-72.34189,18.96,19.48,69.23,16.19,0,NaN,R
HT200000000235,2000,235,19.21376069,-72.54341645,24.35,22.48,46.15,11.43,42.86,NaN,R
HT200000000236,2000,236,19.07555539,-72.39943954,20.17,20.63,26.67,13.75,0,NaN,R
HT200000000237,2000,237,19.25663636,-72.61022895,20.35,19.82,27.27,14.61,6.06,NaN,R
HT200000000238,2000,238,19.47530867,-72.34078881,20.49,19.74,81.82,20.73,0,NaN,R
HT200000000239,2000,239,19.2443291,-72.38011877,20.79,20.26,94.12,28.33,10.34,NaN,R
HT200000000240,2000,240,19.49377324,-72.35121955,20.87,20.82,69.23,20.27,5.88,NaN,R
HT200000000241,2000,241,19.10738803,-72.01754748,20.1,20.03,95.45,10.42,7.89,NaN,R
HT200000000242,2000,242,19.18080042,-72.22084714,20.6,20.04,76.19,20.77,0,NaN,R
HT200000000243,2000,243,19.21692785,-72.11142557,18.65,18.2,90,15.25,0,NaN,R
HT200000000244,2000,244,18.98158063,-71.90147245,21.72,20.89,62.5,11.54,0,NaN,R
HT200000000245,2000,245,18.80146095,-72.13890727,21.84,21.41,91.67,24.49,12.5,NaN,R
HT200000000246,2000,246,18.74750962,-72.16834026,21.79,22.08,57.14,13.51,9.09,NaN,R
HT200000000247,2000,247,18.75628163,-71.99728296,19.33,18.74,63.16,27.35,5.56,NaN,R
HT200000000248,2000,248,18.89887303,-72.08387506,21.45,23.07,61.9,23.61,13.64,NaN,R
HT200000000249,2000,249,18.835083,-72.269651,21.48,21.76,50,26.01,0,NaN,R
HT200000000250,2000,250,19.02206926,-72.16178,21.05,21.26,91.67,21.36,0,NaN,R
HT200000000251,2000,251,18.95024462,-72.14854589,21.88,21.88,66.67,16.13,12.5,NaN,R
HT200000000252,2000,252,18.76805499,-71.96364498,22.36,20.73,41.67,24,12.5,NaN,R
HT200000000253,2000,253,18.93768181,-71.89115445,19.61,19.31,70,16.19,5.56,NaN,R
HT200000000254,2000,254,18.92406736,-71.85398749,20.47,19.96,100,19.44,9.09,NaN,R
HT200000000255,2000,255,18.75227519,-71.93093633,21.35,21.63,73.33,28.86,0,NaN,R
HT200000000256,2000,256,19.12134327,-71.67760908,23.68,21.96,100,21.88,22.22,NaN,R
HT200000000257,2000,257,19.18602866,-71.83418227,21.15,21.28,93.75,14.41,0,NaN,R
HT200000000258,2000,258,19.04410495,-71.76450855,24.32,23.37,43.75,13.16,10,NaN,R
HT200000000259,2000,259,18.32967359,-73.71802248,20.66,20.16,66.67,15.89,8.33,NaN,R
HT200000000260,2000,260,18.22707788,-73.79138858,23.33,23.72,45,13.99,16.67,NaN,R
HT200000000261,2000,261,18.24266916,-73.71177665,20.68,19.86,52.63,15.38,0,NaN,R
HT200000000262,2000,262,18.34252034,-73.70309347,21.49,20.38,90,25.22,8,NaN,R
HT200000000263,2000,263,18.35475548,-73.93310414,20.12,20.04,35,16.67,5.88,NaN,R
HT200000000264,2000,264,18.26683729,-73.98319751,21.13,21.25,66.67,11.11,3.57,NaN,R
HT200000000265,2000,265,18.32783932,-73.90498657,21.22,21.02,78.95,7.07,0,NaN,R
HT200000000266,2000,266,18.08834355,-73.83823959,22.03,20.69,37.5,15.09,0,NaN,R
HT200000000267,2000,267,18.06672821,-73.86979482,20.75,20.55,83.33,11.93,3.03,NaN,R
HT200000000268,2000,268,18.15361215,-73.88980779,20.04,19.32,55.56,14.18,2.63,NaN,R
HT200000000269,2000,269,18.2722762,-73.25236105,20.1,19.68,55,11.88,11.11,NaN,R
HT200000000270,2000,270,18.27770807,-73.20896692,21.22,20.14,40,8.7,21.43,NaN,R
HT200000000271,2000,271,18.29080725,-73.5935399,20.76,19.53,77.78,11.28,16.13,NaN,R
HT200000000272,2000,272,18.2653975,-73.42770244,23.52,21.5,75,11.24,0,NaN,R
HT200000000273,2000,273,18.26504341,-73.61904011,21.02,21.54,75,18.24,5.88,NaN,R
HT200000000274,2000,274,18.38014531,-73.62629696,21.76,21.58,35.29,12.5,12.5,NaN,R
HT200000000275,2000,275,18.27244586,-74.08508234,19.32,18.27,57.14,18.52,0,NaN,R
HT200000000276,2000,276,18.34183097,-74.05807121,18.5,18.94,87.5,15.24,0,NaN,R
HT200000000277,2000,277,18.31248329,-74.19305802,22.1,20.67,51.85,18.95,6.82,NaN,R
HT200000000278,2000,278,18.34239561,-74.27422422,20.22,19.92,60,21.23,0,NaN,R
HT200000000279,2000,279,18.60307141,-74.08974513,21.33,20.7,52.94,9.46,3.33,NaN,R
HT200000000280,2000,280,18.58948676,-74.23104956,20.73,21.05,33.33,6.14,13.04,NaN,R
HT200000000281,2000,281,18.64099528,-74.33131338,22.55,21.7,46.67,3.16,10.34,NaN,R
HT200000000282,2000,282,18.62050736,-74.3233639,20.47,20.35,55,13.86,4.88,NaN,R
HT200000000283,2000,283,18.46386974,-74.30079249,20.21,20.14,66.67,18.4,2.13,NaN,R
HT200000000284,2000,284,18.54897082,-74.299002,21.32,20.45,38.1,10.97,10.34,NaN,R
HT200000000285,2000,285,18.5127061,-74.42442865,23.8,22.18,19.23,22.22,7.41,NaN,R
HT200000000286,2000,286,18.53024509,-74.4247356,20.81,19.89,61.9,7.09,6.25,NaN,R
HT200000000287,2000,287,18.60841679,-74.33742528,22.44,22.98,72.73,15.38,5.56,NaN,R
HT200000000288,2000,288,18.53498451,-73.94877059,20.34,19.46,37.5,21.19,5.26,NaN,R
HT200000000289,2000,289,18.49743255,-74.02562144,20,19.62,60,7.21,3.33,NaN,R
HT200000000290,2000,290,18.47705642,-74.28439235,18.58,18.06,55.56,14.29,9.09,NaN,R
HT200000000291,2000,291,18.42840115,-73.8574791,22.91,21.8,41.18,15.96,23.53,NaN,R
HT200000000292,2000,292,18.36984601,-73.12417029,20.25,19.3,50,13.68,7.89,NaN,R
HT200000000293,2000,293,18.37374591,-73.23465674,20.05,20.07,29.41,13.16,3.03,NaN,R
HT200000000294,2000,294,18.46275014,-73.21053418,22.86,21.5,100,15.48,0,NaN,R
HT200000000295,2000,295,18.51081124,-73.39152396,21.8,21.09,75,8.16,0,NaN,R
HT200000000296,2000,296,18.39783681,-73.24127255,18.69,18.47,57.89,16.67,2.94,NaN,R
HT200000000297,2000,297,18.46831325,-73.63773009,21.12,21.31,100,16.82,0,NaN,R
HT200000000298,2000,298,18.393491,-73.555458,21.56,20.5,100,23.94,8.33,NaN,R
HT200000000299,2000,299,18.47776568,-73.51072563,22.54,23.18,66.67,9.47,0,NaN,R
HT200000000300,2000,300,0,0,21.57,20.82,52.38,11.95,6.9,NaN,R
HT200000000301,2000,301,19.95068469,-72.78824515,24.07,23.24,81.25,11.58,7.14,NaN,R
HT200000000302,2000,302,19.9181361,-72.81267195,21.07,21.08,91.67,13.19,0,NaN,R
HT200000000303,2000,303,19.88906541,-72.88107486,19.58,19.64,85.71,11.29,0,NaN,R
HT200000000304,2000,304,19.80116048,-72.92941783,21,20.1,75,21.98,15.62,NaN,R
HT200000000305,2000,305,19.79833034,-72.79037057,18.82,18.62,100,12.71,0,NaN,R
HT200000000306,2000,306,19.79556227,-72.84678393,24.61,23.3,78.57,6.62,5.71,NaN,R
HT200000000307,2000,307,20.06309702,-72.87879543,22.61,21.58,69.57,2.07,23.53,NaN,R
HT200000000308,2000,308,19.91083054,-72.68595522,19.64,19.73,75,5.13,9.09,NaN,R
HT200000000309,2000,309,19.85676741,-72.83828988,19.43,19.12,100,17.93,0,NaN,R
HT200000000310,2000,310,19.82046511,-72.68521204,21.26,20.41,38.1,4.44,6.25,NaN,R
HT200000000311,2000,311,19.83911066,-73.29685049,21.65,21.3,46.15,18.35,0,NaN,R
HT200000000312,2000,312,19.71922568,-73.21588015,21.76,22.16,69.23,10.98,6.67,NaN,R
HT200000000313,2000,313,19.71018701,-73.33829343,21.92,21.66,72.73,8.7,17.39,NaN,R
HT200000000314,2000,314,19.78679083,-73.10863072,22.65,21.88,66.67,8.33,0,NaN,R
HT200000000315,2000,315,19.84004012,-72.99095183,21.77,21.89,31.25,11.9,26.09,NaN,R
HT200000000316,2000,316,19.86732131,-73.16037541,21.44,21.07,71.43,20.62,4.76,NaN,R
HT200000000317,2000,317,19.82739978,-73.18147215,21.29,21.16,64.71,11.21,8,NaN,R
HT200600000001,2006,1,18.55314,-74.29713,22.8,22.86,30,9.26,23.53,NaN,U
HT200600000002,2006,2,18.62872,-72.26707,22.46,22.07,33.33,6.67,50,NaN,R
HT200600000003,2006,3,19.94245468,-72.83175777,24.32,22.75,71.43,0,11.11,NaN,U
HT200600000004,2006,4,19.69413,-72.00703,24.15,23.83,30.77,11.49,35.29,NaN,U
HT200600000005,2006,5,19.52473,-72.3228,21.56,22.03,61.11,14,3.33,NaN,R
HT200600000006,2006,6,18.56394254,-73.58618848,25.06,24.08,77.78,15.38,18.75,NaN,U
HT200600000007,2006,7,18.25451,-72.25027,21.18,20.9,100,22.83,0,NaN,R
HT200600000008,2006,8,18.43028,-72.85904,24.04,23.02,33.33,17.24,87.5,NaN,U
HT200600000009,2006,9,18.53756,-72.30524,24.14,24.08,33.33,0,36.36,NaN,U
HT200600000010,2006,10,19.94925,-72.81937,22.04,21.62,50,5,46.15,NaN,U
HT200600000011,2006,11,18.36821,-74.40946,22.83,21.42,52.63,6.06,17.65,NaN,U
HT200600000012,2006,12,18.33779,-72.35609,21.82,22.15,81.82,3.3,0,NaN,R
HT200600000013,2006,13,0,0,18.95,18.94,73.33,15.29,6.25,NaN,R
HT200600000014,2006,14,18.73279,-72.05906,22.44,22.41,72.22,20.37,0,NaN,R
HT200600000015,2006,15,18.21527,-73.76584,24.98,25.14,63.64,9.09,90.91,NaN,U
HT200600000016,2006,16,19.70438,-72.3892,19.79,19.53,40,7.58,21.43,NaN,U
HT200600000017,2006,17,18.31220335,-74.21374111,22.68,22.04,46.15,12.77,36.36,NaN,U
HT200600000018,2006,18,19.74441,-72.21347,22.15,20.66,52.63,8.33,38.89,NaN,U
HT200600000019,2006,19,19.09379,-72.50601,21.25,20.96,20,1.43,13.33,NaN,R
HT200600000020,2006,20,18.54703,-72.41292,23.36,22.27,61.9,13.04,90,NaN,U
HT200600000021,2006,21,18.52745047,-72.44042811,23.28,22.27,46.67,9.76,76.92,NaN,U
HT200600000022,2006,22,18.61332,-72.29599,24.04,21.93,47.37,14.06,56,NaN,R
HT200600000023,2006,23,19.43307,-72.5771,18.93,18.38,60,11.63,0,NaN,R
HT200600000024,2006,24,19.76364,-72.2001,20.63,20.69,45.45,5.56,47.62,NaN,U
HT200600000025,2006,25,18.5416,-72.34506,25.39,24.52,35.71,3.85,83.33,NaN,U
HT200600000026,2006,26,18.8275,-73.10539,28.07,25,76.19,6.45,6.45,NaN,R
HT200600000027,2006,27,19.65421,-71.83859,19.09,18.86,29.41,11.76,12.5,NaN,U
HT200600000028,2006,28,18.82889,-72.20766,20.43,20.34,26.67,14.29,27.78,NaN,U
HT200600000029,2006,29,18.73364,-72.40798,24.19,24.66,41.67,14.29,28.57,NaN,U
HT200600000030,2006,30,18.41998,-73.0285,21.44,20.49,50,18.49,13.64,NaN,R
HT200600000031,2006,31,18.5715,-72.32077,23.33,23.3,58.82,8.62,64.29,NaN,U
HT200600000032,2006,32,19.81324866,-73.36702355,20.72,20.85,45,5.98,7.41,NaN,R
HT200600000033,2006,33,18.27031,-72.8431,19.77,19.99,70,11.29,5,NaN,R
HT200600000034,2006,34,18.44909,-73.28645,20.7,21.12,61.54,11.36,0,NaN,R
HT200600000035,2006,35,19.81248,-73.21749,21.41,20.44,76.92,3.37,0,NaN,R
HT200600000036,2006,36,18.31988,-74.17612,20.95,21,76.19,13.98,0,NaN,R
HT200600000037,2006,37,18.49977709,-73.35036858,21.25,20.79,8.33,3.85,62.5,NaN,U
HT200600000038,2006,38,19.3701,-71.78434,19.71,20.07,60,8.51,10.71,NaN,R
HT200600000039,2006,39,19.69703,-72.72709,20.82,19.6,59.09,10.68,31.82,NaN,R
HT200600000040,2006,40,18.57107,-72.32135,22.72,21.4,63.64,11.43,70,NaN,U
HT200600000041,2006,41,19.55646,-71.72927,21.84,23.18,42.86,13.04,68,NaN,U
HT200600000042,2006,42,18.444851,-73.049359,24.29,24.24,50,15.87,26.09,NaN,R
HT200600000043,2006,43,18.43705,-73.43308,24.19,22.7,53.85,8,0,NaN,R
HT200600000044,2006,44,18.19529482,-73.74245398,20.91,20.88,41.18,13.85,47.06,NaN,U
HT200600000045,2006,45,19.70838,-72.35096,19.99,20.33,45.83,8.85,15.15,NaN,R
HT200600000046,2006,46,19.44712,-71.77595,22.18,21.84,66.67,15.28,11.11,NaN,R
HT200600000047,2006,47,19.20296,-71.65524,19.36,18.94,33.33,12.5,0,NaN,R
HT200600000048,2006,48,19.21261,-72.19336,18.95,19.44,50,17.74,0,NaN,R
HT200600000049,2006,49,18.48476,-74.44936,22.8,22.54,41.67,10,50,NaN,U
HT200600000050,2006,50,19.73705,-72.22037,25.32,24.28,65,4.08,78.57,NaN,U
HT200600000051,2006,51,18.57952,-74.22063,21.76,21.47,72.73,8.33,11.11,NaN,U
HT200600000052,2006,52,18.21209,-72.68261,21.3,21.64,46.67,10.48,5,NaN,R
HT200600000053,2006,53,18.44457,-73.08763,23.89,24.72,36.84,4.71,26.67,NaN,U
HT200600000054,2006,54,18.52656,-72.31923,24.92,23.33,41.67,8.82,33.33,NaN,U
HT200600000055,2006,55,18.5521,-74.0981,20.1,21.44,77.78,1.85,9.09,NaN,R
HT200600000056,2006,56,19.44987,-72.66522,21.29,21.07,75,16.18,0,NaN,R
HT200600000057,2006,57,19.14348,-71.94808,20.38,20.15,63.16,14.05,6.67,NaN,R
HT200600000058,2006,58,18.64,-74.11599,21.79,21.14,36.36,3.23,25,NaN,U
HT200600000059,2006,59,18.708283,-71.843923,21.39,21.07,100,28.95,0,NaN,R
HT200600000060,2006,60,18.25551,-74.10073,23.26,22.67,60,16.22,44.44,NaN,U
HT200600000061,2006,61,19.84844,-73.24795,19.14,19.14,57.14,8.86,23.08,NaN,R
HT200600000062,2006,62,19.31124,-71.90468,22.82,23.24,64.71,11.96,0,NaN,R
HT200600000063,2006,63,18.84137,-71.94255,20.82,19.93,36.84,16.67,33.33,NaN,R
HT200600000064,2006,64,18.45769,-74.06212,21.78,22.53,75,9.26,10.53,NaN,R
HT200600000065,2006,65,18.2643885,-73.54134518,20.36,20.28,53.85,5.66,66.67,NaN,U
HT200600000066,2006,66,18.52055,-72.34727,25.08,24.87,68.75,16.67,22.73,NaN,U
HT200600000067,2006,67,18.54623,-74.23488,20.86,21.28,64.29,12.31,8.7,NaN,R
HT200600000068,2006,68,18.3415,-72.8167,21.98,22.2,63.16,10.14,11.11,NaN,R
HT200600000069,2006,69,18.42809,-72.76988,24.36,22.71,66.67,14.06,70,NaN,U
HT200600000070,2006,70,18.4188,-73.95804,20.82,19.76,64.29,9.76,4.35,NaN,R
HT200600000071,2006,71,19.317259,-72.0483817,19.7,18.92,35.29,6,17.39,NaN,R
HT200600000072,2006,72,19.59779,-72.3867,21.59,21.32,56.25,17.5,33.33,NaN,U
HT200600000073,2006,73,18.48009,-74.18758,19.68,19.68,90.91,2.38,0,NaN,R
HT200600000074,2006,74,18.40236,-74.45019,21.86,21.46,53.33,17.17,0,NaN,R
HT200600000075,2006,75,18.51507,-72.28536,22.02,21.22,70,8.16,31.25,NaN,U
HT200600000076,2006,76,19.72346,-72.41907,22.01,21.04,47.37,7.62,47.06,NaN,R
HT200600000077,2006,77,18.79393,-72.50791,23.53,23.3,30.77,27.03,46.15,NaN,R
HT200600000078,2006,78,18.57617,-72.32675,21.95,22.32,57.14,6.12,50,NaN,U
HT200600000079,2006,79,18.57451,-72.33811,23.11,21.04,50,12.5,42.86,NaN,U
HT200600000080,2006,80,19.14304,-72.50151,25.82,24.89,35.29,9.2,19.05,NaN,R
HT200600000081,2006,81,18.25104,-72.65952,21.62,21.81,42.86,4.65,0,NaN,R
HT200600000082,2006,82,18.29138,-72.0866,23.21,22.32,100,10.84,0,NaN,R
HT200600000083,2006,83,18.52404,-72.38982,21.21,19.38,50,4.76,50,NaN,U
HT200600000084,2006,84,18.52495,-72.42247,20.97,21.54,47.06,18.03,71.43,NaN,U
HT200600000085,2006,85,19.00705,-71.95794,22.22,21.9,31.25,10.87,14.29,NaN,U
HT200600000086,2006,86,18.55187,-72.33751,22.01,20.78,21.43,8.33,57.14,NaN,U
HT200600000087,2006,87,18.5259,-72.35422,23.3,22.94,40,0,93.33,NaN,U
HT200600000088,2006,88,19.44465,-71.6933,20.07,19.66,61.54,10.26,10,NaN,R
HT200600000089,2006,89,19.719,-72.38028,18.74,18.57,93.75,14.62,0,NaN,R
HT200600000090,2006,90,18.5302,-72.35964,24.57,24.52,38.46,6.25,66.67,NaN,U
HT200600000091,2006,91,18.52697,-72.30606,21.12,21.24,40.91,11.9,36.36,NaN,U
HT200600000092,2006,92,19.4161,-72.19797,19.85,19.3,68.75,9.33,7.14,NaN,R
HT200600000093,2006,93,19.54572,-71.72662,23.56,22.89,33.33,14.04,100,NaN,U
HT200600000094,2006,94,19.10715,-72.69985,26.21,23.37,25,4.88,81.82,NaN,U
HT200600000095,2006,95,18.54457082,-72.40573952,22.77,22.11,62.5,11.11,41.67,NaN,U
HT200600000096,2006,96,18.37632,-73.15409,23.25,22.91,45,9.38,7.14,NaN,R
HT200600000097,2006,97,18.58688,-72.26542,21.52,21.58,38.1,14.29,25,NaN,U
HT200600000098,2006,98,18.2319,-72.52904,23.73,22.91,62.5,7.14,75,NaN,U
HT200600000099,2006,99,18.53109,-72.33134,25.97,23.5,35,8.11,88.89,NaN,U
HT200600000100,2006,100,19.64539,-71.94861,21.21,20.1,22.22,10.2,62.5,NaN,U
HT200600000101,2006,101,18.42442,-73.99457,20.36,20.4,87.5,9.6,0,NaN,R
HT200600000102,2006,102,19.65793,-72.43627,18.73,18.4,93.33,11.76,3.45,NaN,R
HT200600000103,2006,103,19.00216,-72.37179,19.11,18.56,26.67,11.25,0,NaN,R
HT200600000104,2006,104,18.43975,-73.08416,21.87,22.08,26.32,12.99,66.67,NaN,U
HT200600000105,2006,105,18.5084,-72.35697,22.46,20.75,62.5,18.46,22.22,NaN,U
HT200600000106,2006,106,18.29242,-73.38716,22.62,22.35,60,9.86,43.48,NaN,R
HT200600000107,2006,107,18.20586,-73.74032,21.1,19.92,52.94,7.69,100,NaN,U
HT200600000108,2006,108,19.03503,-72.58737,20.06,19.94,61.54,4.95,0,NaN,R
HT200600000109,2006,109,18.59157,-72.25277,23.74,24.43,40.91,8.7,37.5,NaN,R
HT200600000110,2006,110,18.73092046,-72.15753931,19.99,20.88,69.23,10.38,8.33,NaN,R
HT200600000111,2006,111,19.24118,-72.55957,19.88,19.88,38.46,20.19,11.54,NaN,R
HT200600000112,2006,112,19.54995,-71.71951,21.3,20.31,53.33,7.46,61.11,NaN,U
HT200600000113,2006,113,18.94058,-72.17355,19.91,19.05,18.18,26.37,41.18,NaN,R
HT200600000114,2006,114,18.46066,-73.59918,23.48,23.48,69.23,5.43,0,NaN,R
HT200600000115,2006,115,18.80752,-72.21017,19.76,18.86,61.54,5.95,5.26,NaN,R
HT200600000116,2006,116,18.39826,-73.17328,22.73,22.16,42.86,13.33,33.33,NaN,R
HT200600000117,2006,117,18.4606,-73.82811,19.24,18.77,33.33,4.35,5.56,NaN,R
HT200600000118,2006,118,19.93292,-72.75695,22.77,21.6,54.17,8.25,56,NaN,R
HT200600000119,2006,119,18.29381,-71.73371,22.4,22.68,76.19,5.41,1.96,NaN,R
HT200600000120,2006,120,18.53499,-72.29349,26.84,26.59,26.67,3.23,28.57,NaN,U
HT200600000121,2006,121,18.76456,-72.90086,21.01,20.3,78.95,4.03,12.12,NaN,R
HT200600000122,2006,122,19.12025,-72.07349,20.01,19.87,61.54,11.02,0,NaN,R
HT200600000123,2006,123,18.50869,-73.54835,21.94,21.54,57.14,16.36,0,NaN,R
HT200600000124,2006,124,18.57728,-74.33451,20.23,20.04,42.86,7.32,17.65,NaN,R
HT200600000125,2006,125,0,0,21.13,21.39,50,8.82,27.27,NaN,U
HT200600000126,2006,126,18.74007,-72.39667,20.86,18.97,52.63,28.95,53.33,NaN,R
